level,parent_code,code,name,prefixed_id
1,_T,T,Services of households as employers; undifferentiated goods and services produced by households for own use,a742d148-6243-4d43-8d50-ebcacc434315
2,T,T97,Services of households as employers of domestic personnel,656ab834-290a-4150-844c-8f409e010df7
2,T,T98,Undifferentiated goods and services produced by private households for own use,ba20733c-7b03-43a1-b982-67c6438735c2
1,_T,U,Services provided by extraterritorial organizations and bodies,6f5a9d59-2a9e-a436-b7d377e8b706
2,U,U99,Services provided by extraterritorial organizations and bodies,6f5a9d59-2a9e-a436-b7d377e8b707
0,,ef,Economic flows,6f5a9d59-2a9e-a436-b7d377e8b708
1,ef,B1G,"Value added, gross",6f5a9d59-2a9e-a436-b7d377e8b709
1,ef,B2A3G,"Operating surplus and mixed income, gross",6f5a9d59-2a9e-a436-b7d377e8b710
1,ef,B2A3N,"Operating surplus and mixed income, net",6f5a9d59-2a9e-a436-b7d377e8b711
2,B2A3G,B3G,"Mixed income, gross",6f5a9d59-2a9e-a436-b7d377e8b712
1,ef,D1,Compensation of employees,6f5a9d59-2a9e-a436-b7d377e8b713
2,D1,D11,Wages and salaries,6f5a9d59-2a9e-a436-b7d377e8b714
1,ef,D29X39,Other taxes less other subsidies on production,6f5a9d59-2a9e-a436-b7d377e8b715
1,ef,P1,Output,6f5a9d59-2a9e-a436-b7d377e8b716
1,ef,P2,Intermediate consumption,6f5a9d59-2a9e-a436-b7d377e8b717
1,ef,P3,Final consumption expenditure,6f5a9d59-2a9e-a436-b7d377e8b718
2,P3,P33,Direct purchases abroad by residents,6f5a9d59-2a9e-a436-b7d377e8b719
2,P3,P34,Domestic purchases by non-residents,6f5a9d59-2a9e-a436-b7d377e8b720
2,P3,P3S13,General government final consumption expenditure,6f5a9d59-2a9e-a436-b7d377e8b721
2,P3,P3S14DC,Households final consumption expenditure domestic concept,6f5a9d59-2a9e-a436-b7d377e8b722
2,P3,P3S15,NPISHs final consumption expenditure,6f5a9d59-2a9e-a436-b7d377e8b723
1,ef,P5,Gross capital formation,6f5a9d59-2a9e-a436-b7d377e8b724
2,P5,P51C,Consumption of fixed capital,6f5a9d59-2a9e-a436-b7d377e8b725
2,P5,P51G,Gross fixed capital formation,6f5a9d59-2a9e-a436-b7d377e8b726
