ⲧⲁⲣⲭⲏ	ⲧ|ⲁⲣⲭⲏ
ⲛⲛⲟⲩⲛⲟⲃⲓ	ⲛ|ⲛⲟⲩ|ⲛⲟⲃⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
.	.
ⲓⲱⲁⲛⲛⲏⲥ	ⲓⲱⲁⲛⲛⲏⲥ
ⲇⲉ	ⲇⲉ
ⲛⲁⲣⲉϩⲁⲛϥⲱⲓ	ⲛⲁⲣⲉ|ϩⲁⲛ|ϥⲱⲓ
ⲛϭⲁⲙⲟⲩⲗ	ⲛ|ϭⲁⲙⲟⲩⲗ
ⲧⲟⲓ	ⲧⲟⲓ
ϩⲓⲱⲧϥ	ϩⲓⲱⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉϥⲙⲏⲣ	ⲉ|ϥ|ⲙⲏⲣ
ⲛⲟⲩⲙⲟϫϧ	ⲛ|ⲟⲩ|ⲙⲟϫϧ
ⲛϣⲁⲣ	ⲛ|ϣⲁⲣ
ⲉϫⲉⲛⲧⲉϥϯⲡⲓ	ⲉϫⲉⲛ|ⲧⲉϥ|ϯⲡⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥⲟⲩⲉⲙϣϫⲉ	ⲛⲁ|ϥ|ⲟⲩⲉⲙϣϫⲉ
ⲛⲉⲙⲉⲃⲓⲱ	ⲛⲉⲙ|ⲉⲃⲓⲱ
ⲛⲧⲉⲧⲕⲟⲓ	ⲛⲧⲉ|ⲧ|ⲕⲟⲓ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥϩⲓⲱⲓϣ	ⲛⲁ|ϥ|ϩⲓⲱⲓϣ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉϥⲛⲏⲟⲩ	ϫⲉ|ϥ|ⲛⲏⲟⲩ
ⲙⲉⲛⲉⲛⲥⲱⲓ	ⲙⲉⲛⲉⲛⲥⲱ|ⲓ
ⲛϫⲉⲫⲏ	ⲛϫⲉ|ⲫⲏ
ⲉⲧϫⲟⲣ	ⲉⲧ|ϫⲟⲣ
ⲉϩⲟⲧⲉⲣⲟⲓ	ⲉϩⲟⲧⲉⲣⲟ|ⲓ
ⲫⲏ	ⲫⲏ
ⲉⲧⲉⲛϯⲙⲡϣⲁ	ⲉⲧⲉ|ⲛ|ϯ|ⲙⲡϣⲁ
ⲁⲛ	ⲁⲛ
ⲉϫⲟⲃⲥⲧ	ⲉ|ϫⲟⲃⲥ|ⲧ
ⲉϧⲣⲏⲓ	ⲉϧⲣⲏⲓ
ⲉϯⲟⲩⲱ	ⲉ|ϯⲟⲩⲱ
ⲛⲟⲩⲙⲟⲩⲥⲉⲣ	ⲛ|ⲟⲩ|ⲙⲟⲩⲥⲉⲣ
ⲛⲧⲉⲡⲉϥⲑⲱⲟⲩⲓ	ⲛⲧⲉ|ⲡⲉϥ|ⲑⲱⲟⲩⲓ
.	.
ⲁⲛⲟⲕ	ⲁⲛⲟⲕ
ⲉⲧⲁⲓϯⲱⲙⲥ	ⲉⲧ|ⲁ|ⲓ|ϯⲱⲙⲥ
ⲛⲱⲧⲉⲛ	ⲛⲱ|ⲧⲉⲛ
ϧⲉⲛⲟⲩⲙⲱⲟⲩ	ϧⲉⲛ|ⲟⲩ|ⲙⲱⲟⲩ
ⲛⲑⲟϥ	ⲛⲑⲟϥ
ⲇⲉ	ⲇⲉ
ϥⲛⲁⲉⲙⲥⲑⲏⲛⲟⲩ	ϥ|ⲛⲁ|ⲉⲙⲥ|ⲑⲏⲛⲟⲩ
ϧⲉⲛⲟⲩⲡⲛⲉⲩⲙⲁ	ϧⲉⲛ|ⲟⲩ|ⲡⲛⲉⲩⲙⲁ
ⲉϥⲟⲩⲁⲃ	ⲉ|ϥ|ⲟⲩⲁⲃ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲥϣⲱⲡⲓ	ⲁ|ⲥ|ϣⲱⲡⲓ
ϧⲉⲛⲛⲓⲉϩⲟⲟⲩ	ϧⲉⲛ|ⲛⲓ|ⲉϩⲟⲟⲩ
ⲉⲧⲉⲙⲙⲁⲩ	ⲉⲧⲉ|ⲙⲙⲁⲩ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲛϫⲉⲓⲏⲥⲟⲩⲥ	ⲛϫⲉ|ⲓⲏⲥⲟⲩⲥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲛⲁⲍⲁⲣⲉⲑ	ϧⲉⲛ|ⲛⲁⲍⲁⲣⲉⲑ
ⲛⲧⲉϯⲅⲁⲗⲓⲗⲉⲁ	ⲛⲧⲉ|ϯ|ⲅⲁⲗⲓⲗⲉⲁ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥϭⲓⲱⲙⲥ	ⲁ|ϥ|ϭⲓⲱⲙⲥ
ϧⲉⲛⲡⲓⲓⲟⲣⲇⲁⲛⲏⲥ	ϧⲉⲛ|ⲡⲓ|ⲓⲟⲣⲇⲁⲛⲏⲥ
ⲛⲧⲟⲧϥ	ⲛⲧⲟⲧ|ϥ
ⲛⲓⲱⲁⲛⲛⲏⲥ	ⲛ|ⲓⲱⲁⲛⲛⲏⲥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲉϥⲛⲏⲟⲩ	ⲉ|ϥ|ⲛⲏⲟⲩ
ⲉⲡϣⲱⲓ	ⲉ|ⲡ|ϣⲱⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲡⲓⲙⲱⲟⲩ	ϧⲉⲛ|ⲡⲓ|ⲙⲱⲟⲩ
ⲁϥⲛⲁⲩ	ⲁ|ϥ|ⲛⲁⲩ
ⲉⲛⲓⲫⲏⲟⲩⲓ	ⲉ|ⲛⲓ|ⲫⲏⲟⲩⲓ
ⲉⲁⲩⲫⲱϧ	ⲉ|ⲁ|ⲩ|ⲫⲱϧ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲡⲓⲡⲛⲉⲩⲙⲁ	ⲡⲓ|ⲡⲛⲉⲩⲙⲁ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲉϧⲣⲏⲓ	ⲉϧⲣⲏⲓ
ⲉϫⲱϥ	ⲉϫⲱ|ϥ
ⲙⲫⲣⲏϯ	ⲙ|ⲫ|ⲣⲏϯ
ⲛⲟⲩϭⲣⲟⲙⲡⲓ	ⲛ|ⲟⲩ|ϭⲣⲟⲙⲡⲓ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲟⲩⲥⲙⲏ	ⲟⲩ|ⲥⲙⲏ
ⲛⲁⲥϣⲱⲡⲓ	ⲛⲁ|ⲥ|ϣⲱⲡⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϧⲉⲛⲛⲓⲫⲏⲟⲩⲓ	ϧⲉⲛ|ⲛⲓ|ⲫⲏⲟⲩⲓ
ϫⲉⲛⲑⲟⲕ	ϫⲉ|ⲛⲑⲟⲕ
ⲡⲉ	ⲡⲉ
ⲡⲁϣⲏⲣⲓ	ⲡⲁ|ϣⲏⲣⲓ
ⲡⲁⲙⲉⲛⲣⲓⲧ	ⲡⲁ|ⲙⲉⲛⲣⲓⲧ
ⲉⲧⲁⲓϯⲙⲁϯ	ⲉⲧ|ⲁ|ⲓ|ϯⲙⲁϯ
ⲛϧⲏⲧϥ	ⲛϧⲏⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲁⲡⲓⲡⲛⲉⲩⲙⲁ	ⲁ|ⲡⲓ|ⲡⲛⲉⲩⲙⲁ
ϩⲓⲧϥ	ϩⲓⲧ|ϥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲉⲡϣⲁϥⲉ	ⲉ|ⲡ|ϣⲁϥⲉ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥⲭⲏ	ⲛⲁ|ϥ|ⲭⲏ
ⲡⲉ	ⲡⲉ
ϩⲓⲡϣⲁϥⲉ	ϩⲓ|ⲡ|ϣⲁϥⲉ
ⲛⲙ	ⲛ|ⲙ
ⲛⲉϩⲟⲟⲩ	ⲛ|ⲉϩⲟⲟⲩ
ⲛⲉⲙⲛⲉϫⲱⲣϩ	ⲛⲉⲙ|ⲛ|ⲉϫⲱⲣϩ
ⲉϥⲉⲣⲡⲓⲣⲁⲍⲓⲛ	ⲉ|ϥ|ⲉⲣⲡⲓⲣⲁⲍⲓⲛ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
ⲛϫⲉⲡⲥⲁⲧⲁⲛⲁⲥ	ⲛϫⲉ|ⲡ|ⲥⲁⲧⲁⲛⲁⲥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥⲭⲏ	ⲛⲁ|ϥ|ⲭⲏ
ⲡⲉ	ⲡⲉ
ⲛⲉⲙⲛⲓⲑⲏⲣⲓⲟⲛ	ⲛⲉⲙ|ⲛⲓ|ⲑⲏⲣⲓⲟⲛ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲓⲁⲅⲅⲉⲗⲟⲥ	ⲛⲓ|ⲁⲅⲅⲉⲗⲟⲥ
ⲛⲁⲩϣⲉⲙϣⲓ	ⲛⲁ|ⲩ|ϣⲉⲙϣⲓ
ⲙⲙⲟϥ	ⲙⲙⲟ|ϥ
.	.
ⲙⲉⲛⲉⲛⲥⲁⲑⲣⲟⲩϯ	ⲙⲉⲛⲉⲛⲥⲁ|ⲑⲣⲟ|ⲩ|ϯ
ⲇⲉ	ⲇⲉ
ⲛⲓⲱⲁⲛⲛⲏⲥ	ⲛ|ⲓⲱⲁⲛⲛⲏⲥ
ⲁϥⲓ	ⲁ|ϥ|ⲓ
ⲛϫⲉⲓⲏⲥⲟⲩⲥ	ⲛϫⲉ|ⲓⲏⲥⲟⲩⲥ
ⲉϯⲅⲁⲗⲓⲗⲉⲁ	ⲉ|ϯ|ⲅⲁⲗⲓⲗⲉⲁ
ⲉϥϩⲓⲱⲓϣ	ⲉ|ϥ|ϩⲓⲱⲓϣ
ⲙⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	ⲙ|ⲡⲓ|ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
ⲛⲧⲉⲫⲛⲟⲩϯ	ⲛⲧⲉ|ⲫ|ⲛⲟⲩϯ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲁϥϫⲱⲕ	ϫⲉ|ⲁ|ϥ|ϫⲱⲕ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛϫⲉⲡⲓⲥⲏⲟⲩ	ⲛϫⲉ|ⲡⲓ|ⲥⲏⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲥϧⲱⲛⲧ	ⲁ|ⲥ|ϧⲱⲛⲧ
ⲛϫⲉϯⲙⲉⲧⲟⲩⲣⲟ	ⲛϫⲉ|ϯ|ⲙⲉⲧⲟⲩⲣⲟ
ⲛⲧⲉⲡⲛⲟⲩϯ	ⲛⲧⲉ|ⲡ|ⲛⲟⲩϯ
ⲁⲣⲓⲙⲉⲧⲁⲛⲟⲉⲓⲛ	ⲁⲣⲓ|ⲙⲉⲧⲁⲛⲟⲉⲓⲛ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϩϯ	ⲛⲁϩϯ
ⲉⲡⲓⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	ⲉ|ⲡⲓ|ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁϥⲥⲓⲛⲓ	ⲉⲧ|ⲁ|ϥ|ⲥⲓⲛⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲁ	ϩⲁ
ⲡⲓⲟⲙ	ⲡ|ⲓⲟⲙ
ⲛⲧⲉϯⲅⲁⲗⲓⲗⲉⲁ	ⲛⲧⲉ|ϯ|ⲅⲁⲗⲓⲗⲉⲁ
ⲁϥⲛⲁⲩ	ⲁ|ϥ|ⲛⲁⲩ
ⲉⲥⲓⲙⲱⲛ	ⲉ|ⲥⲓⲙⲱⲛ
ⲛⲉⲙⲁⲛⲇⲣⲉⲁⲥ	ⲛⲉⲙ|ⲁⲛⲇⲣⲉⲁⲥ
ⲡⲥⲟⲛ	ⲡ|ⲥⲟⲛ
ⲛⲥⲓⲙⲱⲛ	ⲛ|ⲥⲓⲙⲱⲛ
ⲉⲩϩⲓϣⲛⲉ	ⲉ|ⲩ|ϩⲓϣⲛⲉ
ⲛⲥⲓϯ	ⲛ|ⲥⲓϯ
ⲉⲡⲓⲟⲙ	ⲉ|ⲡ|ⲓⲟⲙ
ϫⲉⲟⲩⲏⲓ	ϫⲉ|ⲟⲩⲏⲓ
ⲅⲁⲣ	ⲅⲁⲣ
ⲛⲉϩⲁⲛⲟⲩⲟϩⲓ	ⲛⲉ|ϩⲁⲛ|ⲟⲩⲟϩⲓ
ⲛⲉ	ⲛⲉ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲡⲉϫⲁϥ	ⲡⲉϫⲁ|ϥ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ⲛϫⲉⲓⲏⲥⲟⲩⲥ	ⲛϫⲉ|ⲓⲏⲥⲟⲩⲥ
ϫⲉⲁⲙⲱⲓⲛⲓ	ϫⲉ|ⲁⲙⲱⲓⲛⲓ
ⲙⲟϣⲓ	ⲙⲟϣⲓ
ⲛⲥⲱⲓ	ⲛⲥⲱ|ⲓ
ⲛⲧⲁⲉⲣⲑⲏⲛⲟⲩ	ⲛ|ⲧⲁ|ⲉⲣ|ⲑⲏⲛⲟⲩ
ⲛϩⲁⲛⲟⲩⲟϩⲓ	ⲛ|ϩⲁⲛ|ⲟⲩⲟϩⲓ
ⲛⲣⲉϥⲧⲁϩⲉⲣⲱⲙⲓ	ⲛ|ⲣⲉϥⲧⲁϩⲉⲣⲱⲙⲓ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲩⲭⲁⲛⲓϣⲛⲏⲟⲩ	ⲁ|ⲩ|ⲭⲁ|ⲛⲓ|ϣⲛⲏⲟⲩ
ⲛⲥⲱⲟⲩ	ⲛⲥⲱ|ⲟⲩ
ⲥⲁⲧⲟⲧⲟⲩ	ⲥⲁⲧⲟⲧⲟⲩ
ⲁⲩⲙⲟϣⲓ	ⲁ|ⲩ|ⲙⲟϣⲓ
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲉⲧⲁϥⲥⲓⲛⲓ	ⲉⲧ|ⲁ|ϥ|ⲥⲓⲛⲓ
ⲉⲧϩⲏ	ⲉ|ⲧ|ϩⲏ
ⲛⲕⲉⲕⲟⲩϫⲓ	ⲛ|ⲕⲉ|ⲕⲟⲩϫⲓ
ⲁϥⲛⲁⲩ	ⲁ|ϥ|ⲛⲁⲩ
ⲉⲓⲁⲕⲱⲃⲟⲥ	ⲉ|ⲓⲁⲕⲱⲃⲟⲥ
ⲡϣⲏⲣⲓ	ⲡ|ϣⲏⲣⲓ
ⲛⲍⲉⲃⲉⲇⲉⲟⲥ	ⲛ|ⲍⲉⲃⲉⲇⲉⲟⲥ
ⲛⲉⲛⲓⲱⲁⲛⲛⲏⲥ	ⲛⲉⲛ|ⲓⲱⲁⲛⲛⲏⲥ
ⲡⲉϥⲥⲟⲛ	ⲡⲉϥ|ⲥⲟⲛ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲑⲱⲟⲩ	ⲛⲑⲱⲟⲩ
ϩⲱⲟⲩ	ϩⲱ|ⲟⲩ
ⲉⲩϩⲓⲡⲓϫⲟⲉⲓ	ⲉ|ⲩ|ϩⲓ|ⲡⲓ|ϫⲟⲉⲓ
ⲉⲩⲥⲟⲃϯ	ⲉ|ⲩ|ⲥⲟⲃϯ
ⲛⲛⲟⲩϣⲛⲏⲟⲩ	ⲛ|ⲛⲟⲩ|ϣⲛⲏⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲁϥⲙⲟⲩϯ	ⲁ|ϥ|ⲙⲟⲩϯ
ⲉⲣⲱⲟⲩ	ⲉⲣⲱ|ⲟⲩ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲩⲭⲁ	ⲁ|ⲩ|ⲭⲁ
ⲡⲟⲩⲉⲓⲱⲧ	ⲡⲟⲩ|ⲉⲓⲱⲧ
ⲛⲥⲱⲟⲩ	ⲛⲥⲱ|ⲟⲩ
ⲍⲉⲃⲉⲇⲉⲟⲥ	ⲍⲉⲃⲉⲇⲉⲟⲥ
ϩⲓⲡⲓϫⲟⲉⲓ	ϩⲓ|ⲡⲓ|ϫⲟⲉⲓ
ⲛⲉⲛⲛⲓⲙⲓⲥⲑⲱⲧⲏⲥ	ⲛⲉⲛ|ⲛⲓ|ⲙⲓⲥⲑⲱⲧⲏⲥ
ⲁⲩϣⲉ	ⲁ|ⲩ|ϣⲉ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ⲁⲩⲙⲟϣⲓ	ⲁ|ⲩ|ⲙⲟϣⲓ
ⲛⲥⲱϥ	ⲛⲥⲱ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁⲩϣⲉ	ⲁ|ⲩ|ϣⲉ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ⲉϧⲟⲩⲛ	ⲉϧⲟⲩⲛ
ⲉⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ	ⲉ|ⲕⲁⲫⲁⲣⲛⲁⲟⲩⲙ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁϥϯⲥⲃⲱ	ⲛⲁ|ϥ|ϯⲥⲃⲱ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ϧⲉⲛⲛⲓⲥⲁⲃⲃⲁⲧⲟⲛ	ϧⲉⲛ|ⲛⲓ|ⲥⲁⲃⲃⲁⲧⲟⲛ
ϧⲉⲛⲛⲓⲥⲩⲛⲁⲅⲱⲅⲏ	ϧⲉⲛ|ⲛⲓ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲛⲁⲩⲉⲣϣⲫⲏⲣⲓ	ⲛⲁ|ⲩ|ⲉⲣϣⲫⲏⲣⲓ
ⲉϫⲉⲛⲧⲉϥⲥⲃⲱ	ⲉϫⲉⲛ|ⲧⲉϥ|ⲥⲃⲱ
ⲛⲁϥϯⲥⲃⲱ	ⲛⲁ|ϥ|ϯⲥⲃⲱ
ⲅⲁⲣ	ⲅⲁⲣ
ⲛⲱⲟⲩ	ⲛⲱ|ⲟⲩ
ⲡⲉ	ⲡⲉ
ϩⲱⲥ	ϩⲱⲥ
ⲉⲣⲉⲡⲉϥⲉⲣϣⲓϣⲓ	ⲉⲣⲉ|ⲡⲉϥ|ⲉⲣϣⲓϣⲓ
ⲛⲧⲟⲧϥ	ⲛⲧⲟⲧ|ϥ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲙⲡⲣⲏϯ	ⲙ|ⲡ|ⲣⲏϯ
ⲁⲛ	ⲁⲛ
ⲛⲛⲓⲥⲁϧ	ⲛ|ⲛⲓ|ⲥⲁϧ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲥⲁⲧⲟⲧϥ	ⲥⲁⲧⲟⲧϥ
ⲛⲉⲟⲩⲟⲛ	ⲛⲉ|ⲟⲩⲟⲛ
ⲟⲩⲣⲱⲙⲓ	ⲟⲩ|ⲣⲱⲙⲓ
ϧⲉⲛϯⲥⲩⲛⲁⲅⲱⲅⲏ	ϧⲉⲛ|ϯ|ⲥⲩⲛⲁⲅⲱⲅⲏ
ⲉϥϧⲉⲛⲟⲩⲡⲛⲉⲩⲙⲁ	ⲉ|ϥ|ϧⲉⲛ|ⲟⲩ|ⲡⲛⲉⲩⲙⲁ
ⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	ⲛ|ⲁⲕⲁⲑⲁⲣⲧⲟⲛ
ⲟⲩⲟϩ	ⲟⲩⲟϩ
ⲁϥⲱϣ	ⲁ|ϥ|ⲱϣ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲉϥϫⲱ	ⲉ|ϥ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲁϧⲟⲕ	ϫⲉ|ⲁϧⲟ|ⲕ
ⲛⲉⲙⲁⲛ	ⲛⲉⲙⲁ|ⲛ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲡⲓⲣⲉⲙⲛⲁⲍⲁⲣⲉⲑ	ⲡⲓ|ⲣⲉⲙⲛⲁⲍⲁⲣⲉⲑ
ⲉⲧⲁⲕⲓ	ⲉⲧ|ⲁ|ⲕ|ⲓ
ⲉⲧⲁⲕⲟⲛ	ⲉ|ⲧⲁⲕⲟ|ⲛ
ⲧⲉⲛⲥⲱⲟⲩⲛ	ⲧⲉⲛ|ⲥⲱⲟⲩⲛ
ⲙⲙⲟⲕ	ⲙⲙⲟ|ⲕ
ϫⲉⲛⲑⲟⲕ	ϫⲉ|ⲛⲑⲟⲕ
ⲛⲓⲙ	ⲛⲓⲙ
ⲡⲓϩⲁⲅⲓⲟⲥ	ⲡⲓ|ϩⲁⲅⲓⲟⲥ
ⲛⲧⲉⲡⲛⲟⲩϯ	ⲛⲧⲉ|ⲡ|ⲛⲟⲩϯ
.	.
ⲟⲩⲟϩ	ⲟⲩⲟϩ
